X,Y,osm_id,amenity,name,public_transport,man_made,ele,natural,tourism,shop,religion,office,highway,leisure,denomination,ferry,name:en,description,phone,addr:street,smoking,outdoor_seating,drinking_water,cuisine,name:es,website,level,addr:postcode,addr:city,opening_hours,bus,name:ro,internet_access,addr:place,addr:country,email
23.8637254,39.1435635,5100655256,restaurant,Η Ακτή,,,,,,,,,,,,,,,,,yes,yes,,greek,,,,,,,,,,,,
23.8636883,39.1436963,5100655253,cafe,Απρόβλεπτο,,,,,,,,,,,,,,,,,,,,,Aprovlepto,,,,,,,,,,,
23.8637496,39.1437515,5100655260,bar,Drunk Seal,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,
23.863786,39.143798,5100655250,,Alonissos Seacolours,,,,,,dive,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8638049,39.143837,5100655249,fast_food,Γιώργος,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,
23.8638352,39.1438863,5100655257,,Καρυατις,,,,,,gift,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8638686,39.1439314,5100655247,cafe,Mythodea,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,
23.863915,39.1439967,5100655255,restaurant,Ostria,,,,,,,,,,,,,,,,,yes,yes,,greek,,,,,,,,,,,,
23.8639802,39.1440696,5100655254,restaurant,Archipelagos,,,,,,,,,,,,,,,,,yes,yes,,greek,,,,,,,,,,,,
23.8639133,39.1441612,6778626585,,Μαυρος γατος,,,,,,coffee,,,,,,,,"καφε , φαγητο",,,,,,,,,,,,,,,,,,
23.8640548,39.1441668,4977553673,atm,Euronet Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8640787,39.1442446,5100671365,,Albedo Travel,,,,,,travel_agency,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8643071,39.1442302,1757263959,,Anagnostou Evangelia Market,,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8675484,39.1437038,5101081162,cafe,Το Μουράτιο,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,
23.8629386,39.1445809,5100655258,,Supermarket Μχ. Αναχνωστου,,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,
23.863003,39.1444462,6804877767,,Ψιλικα,,,,,,variety_store,,,,,,,,,,,,,,,,,,,,,,,,,,
23.863203,39.1442971,6804886301,cafe,Menta,,,,,,,,,,,,,,"fresh juices,coffee,crepes,snacks",,,,,,,,,,,,,,,,,,
23.8644087,39.144288,5100671364,restaurant,Tzitzifia,,,,,,,,,,,,,,,,,yes,yes,,greek,,,,,,,,,,,,
23.8645142,39.1443851,6804883317,cafe,Korali,,,,,,,,,,,,,,cafe and snack,,,,,,,,,,,,,,,,,,
23.8647115,39.1447751,6757753985,restaurant,,,,,,,,,,,,,,Favela,,,,,,,,,,,,,,,,,,,
23.8653085,39.1445968,6537329438,,Mom,,,,,information,,,ngo,,,,,,"ΜΟΜ, Κεντρο ενημερωσης Mom,  Εταιρεια για την  Μελετη και Προστασια της Μεσογειακης Φωκιας.       Mom, Hellenic Society for the Study and  Protection of the Monk Seal",2424066350,Πατητήρι - Αλόννησος,,,,,,https://www.mom.gr/home,1,37005,Πατητήρι,SUMMER,,,,,,
23.8656995,39.1446217,4984438079,bus_station,Patitiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8654716,39.1446475,4579646733,,Ferry ticket seller,,,,,,ticket,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8654299,39.1449778,6537348638,bank,National bank of Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8654869,39.1450325,4977595389,fast_food,Miam Miam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8650231,39.1478023,5131021783,,,,,,,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8650654,39.1475105,6804897363,,Κρεοπωλειο,,,,,,butcher,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8652687,39.1476347,5131021784,,,,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8653991,39.1478242,1757164794,fire_station,Π.Σ. Αλοννήσου,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8663636,39.1482998,6699310359,,,platform,,,,,,,,bus_stop,,,,,,,,,,,,,,,,,,yes,,,,,
23.8665593,39.1483862,6699310358,,,platform,,,,,,,,bus_stop,,,,,,,,,,,,,,,,,,yes,,,,,
23.8671445,39.1477257,6804866547,townhall,Δημαρχειο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8667471,39.1498029,6699340531,,,platform,,,,,,,,bus_stop,,,,,,,,,,,,,,,,,,yes,,,,,
23.8666318,39.1498668,6699340532,,,platform,,,,,,,,bus_stop,,,,,,,,,,,,,,,,,,yes,,,,,
23.8742126,39.1499806,6778625051,,,,,,,,,,,,slipway,,,,,,,,,,,,,,,,,,,,,,
23.8740672,39.1525725,5131022175,,,,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8612954,39.1625578,6699338407,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8596378,39.1642201,6262487183,,Βουνό,,,260,peak,,,,,,,,,Vouno,,,,,,,,,,,,,,,,,,,
23.8808523,39.1722938,6262592429,,Πέντε Βρύσες,,,,spring,,,,,,,,,Pénte Vrýses,,,,,,,,,,,,,,,izvor Pénte Vrýses,,,,
23.8938299,39.1625065,5131046360,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9021685,39.1653278,5131046359,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9060756,39.173749,1783584292,restaurant,Elaionas,,,,,,,,,,,,,,,,,,,,greek,,,,,,,,,,,,
23.8845517,39.1823836,6262582914,,Τουρκόβιγλα,,,340,peak,,,,,,,,,Tourkovigla,,,,,,,,,,,,,,,,,,,
23.8968623,39.1976593,6268504783,,Ξηρόπευκο,,,400,peak,,,,,,,,,Xiropefko,,,,,,,,,,,,,,,,,,,
23.9058941,39.2090918,6268487676,,Γελαδιάς,,,449,peak,,,,,,,,,Geladias,,,,,,,,,,,,,,,,,,,
23.9037584,39.2209313,1762398253,drinking_water,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9063761,39.1733165,1783584311,bar,Elia beach bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9067623,39.1742231,1783584103,restaurant,Dolopes Restaurant,,,,,,,,,,,,,,,,,,,,greek,,,,,,,,,,,,
23.9072129,39.1740401,1783584172,bar,Island Beach Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9251496,39.1923337,4963604302,cafe,Icarus Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9242902,39.1923756,4320135014,restaurant,Tasia's,,,,,,,,,,,,,,,00302424065545,,,,,"fish;greek",,,,,,Mo-Su 10:00-12:00,,,wlan,,,
23.9244077,39.1923719,4307304809,cafe,Ikion,,,,,,,,,,,,,,,,,,,,"greek;italian",,http://www.ikiongroup.com,,,,,,,wlan,,,
23.9257308,39.1921656,2823093765,restaurant,To Mourayio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9258699,39.1922008,6767201086,restaurant,,,,,,,,,,,,,,Sossinola,,,,,,,,,,,,,,,,,,,
23.9260472,39.1922308,6767200899,restaurant,,,,,,,,,,,,,,To Fanari,,+2424063343,,,,,"greek;fish",,,,,,,,,,,,
23.9271736,39.1933606,5131046371,parking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9272518,39.1930436,5131046372,place_of_worship,,,,,,,,christian,,,,orthodox,,,,,,,,,,,,,,,,,,,,,
23.9278112,39.1931496,2876903352,,Casa Kalypso,,,,,guest_house,,,,,,,,Casa Kalypso,,2424065740,,,,,,,http://www.casakalypso.gr/,,37005,Στενή Βάλα,,,,,Γλυφά,GR,info@casakalypso.gr
23.943978,39.2192771,4965991139,fast_food,Thetis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9115274,39.2275252,6268489255,,Γαλανού Ράχη,,,329,peak,,,,,,,,,Galanoú Ráchi,,,,,,,,,,,,,,,,,,,
23.9201627,39.2293922,1762396553,shelter,Menegakia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.9472998,39.2363896,6268499011,,Στροβίλι,,,255,peak,,,,,,,,,Strovíli,,,,,,,,,,,,,,,,,,,
